W15 W15 W15 W714 W14 W56 W15 W14 W14 W15 W15 W14 W14 W15 W14 W61 W36 W14 W15 W15 #PB#3 
W264 W5 W4 W5 W5 W5 W4 W5 W4 W5 W4 W5 W5 W4 W4 W5 W5 W5 W4 W4 #PB#0 
W13 W13 W12 W12 W13 W12 W13 W12 W12 W13 W12 W12 W12 W12 W12 W12 W13 W12 W613 W13 #PB#2 
W620 W560 W4 W5 W5 W4 W5 W4 W4 W4 W4 W4 W4 W5 W4 W4 W5 W5 W4 W891 #PB#2 
W11 W333 W11 W10 W11 W11 W11 W11 W10 W10 W10 W11 W11 W11 W10 W11 W10 W11 W11 W11 #PB#1 
W1 W0 W0 W0 W1 W0 W737 W0 W1 W0 W1 W1 W910 W0 W981 W0 W1 W1 W0 W1 #PB#0 
W9 W9 W9 W8 W8 W8 W9 W8 W101 W9 W715 W9 W9 W8 W9 W9 W9 W9 W8 W8 #PB#0 
W546 W954 W9 W8 W981 W9 W8 W9 W8 W8 W9 W106 W686 W8 W9 W758 W8 W9 W263 W8 #PB#0 
W9 W9 W9 W145 W9 W409 W9 W8 W8 W8 W8 W9 W9 W8 W8 W8 W9 W8 W537 W8 #PB#0 
W8 W8 W9 W9 W8 W9 W9 W9 W9 W8 W8 W8 W243 W8 W643 W9 W8 W9 W9 W9 #PB#0 
W8 W9 W601 W9 W8 W9 W9 W8 W8 W8 W8 W9 W9 W9 W8 W8 W9 W8 W309 W8 #PB#0 
W8 W8 W9 W8 W8 W9 W9 W8 W9 W8 W9 W9 W9 W9 W9 W27 W8 W709 W8 W423 #PB#0 
W13 W565 W13 W75 W12 W13 W13 W13 W12 W13 W12 W12 W13 W13 W12 W946 W12 W12 W12 W12 #PB#3 
W9 W9 W8 W8 W9 W9 W8 W8 W653 W9 W8 W8 W8 W9 W8 W8 W9 W9 W8 W8 #PB#0 
W8 W8 W8 W9 W584 W8 W9 W8 W9 W8 W9 W9 W8 W9 W8 W8 W9 W8 W9 W8 #PB#0 
W9 W9 W8 W9 W9 W9 W9 W8 W9 W9 W8 W8 W671 W9 W138 W9 W9 W9 W9 W9 #PB#0 
W10 W10 W11 W404 W11 W10 W645 W10 W11 W11 W10 W11 W11 W836 W10 W10 W11 W10 W10 W10 #PB#1 
W8 W8 W8 W9 W9 W264 W841 W9 W9 W8 W9 W9 W8 W9 W8 W8 W9 W348 W8 W8 #PB#0 
W13 W13 W12 W13 W13 W12 W12 W13 W18 W13 W12 W13 W12 W12 W13 W12 W63 W13 W13 W13 #PB#2 
W657 W12 W13 W13 W12 W13 W13 W13 W12 W13 W13 W13 W13 W12 W12 W12 W12 W12 W12 W12 #PB#2 
